District,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020
Gampaha,18,10,10,10,10
Colombo,17,16,16,19,21
Puttalam,12,6,6,6,8
Kurunegala,4,1,1,1,1
Kaluthara,4,4,4,8,13
Ratnapura,3,3,3,3,3
Galle,1,1,1,1,1
Kegalle,1,1,1,1,1
Matara,1,0,0,0,1
Batticoloa,1,1,1,1,1
Badulla,1,1,1,1,1
Kandy,0,0,0,0,0
Matale,0,0,0,0,0
Nuwaraeliya,0,0,0,0,0
Hambanthota,0,0,0,0,0
Jaffna,0,0,0,1,1
Kilinochchi,0,0,0,0,0
Mannar,0,0,0,0,0
Vavunia,0,0,0,0,0
Mullativu,0,0,0,0,0
Ampara,0,0,0,0,0
Trincomalee,0,0,0,0,0
Anuradhapura,0,0,0,0,0
Moneragala,0,0,0,0,0
Kalmunai,0,0,0,0,0
Quarantine Centers,,25,31,32,32
Forigners,3,3,3,3,3
,,,,,
Total,66,72,78,87,97
